Time, Roll, Pitch, Yaw
0.004,2.81e-06,-5.83e-06,-9.09e-07
0.01,5.28e-05,6.76e-05,-3.35e-05
0.013,4.47e-05,7.52e-05,-3.89e-05
0.018,3.26e-05,5.57e-05,6.12e-05
0.022,4.55e-05,4.88e-05,2e-05
0.025,2.66e-05,6.34e-05,2.12e-05
0.031,2.09e-05,6.09e-05,0.000156
0.034,-1.36e-05,3.62e-05,0.000159
0.039,1.16e-05,6.48e-05,0.000138
0.043,5.32e-05,4.53e-05,0.000145
0.048,5.44e-06,5.9e-05,5.07e-05
0.052,-3.5e-05,8.1e-05,8.12e-05
0.057,-5.13e-05,6.98e-05,7.39e-05
0.061,-4.45e-05,4.38e-05,3.56e-05
0.066,4.18e-05,3.97e-05,-3.26e-05
0.069,7.45e-05,6.38e-05,-4e-05
0.072,5.16e-05,6.46e-05,-8.35e-07
0.075,7.12e-05,4.57e-05,3.59e-08
0.079,1.82e-05,-2.92e-05,-9.7e-06
0.082,3.84e-05,-2.08e-05,-1.48e-06
0.088,-8.31e-06,-5.95e-05,0.000106
0.093,-6.09e-05,-0.000127,8.77e-05
0.096,-9.24e-05,-0.000137,8.79e-05
0.099,-0.0001,-0.000154,0.000121
0.103,-0.000184,-0.000196,0.000116
0.108,-0.000266,-0.000327,0.000151
0.111,-0.000298,-0.000335,0.000137
0.115,-0.000344,-0.000363,0.000165
0.117,-0.000348,-0.000363,0.000179
0.12,-0.000277,-0.000368,0.000128
0.123,-0.000278,-0.000374,9.71e-05
0.126,-0.000279,-0.000404,0.000145
0.129,-0.000241,-0.00042,8.32e-05
0.133,-0.000277,-0.000486,7.79e-05
0.136,-0.00025,-0.000473,9.86e-05
0.139,-0.000262,-0.000525,0.000113
0.142,-0.000256,-0.00057,0.000103
0.145,-0.000194,-0.000619,0.000122
0.151,-0.000222,-0.00064,6.99e-05
0.154,-0.000233,-0.000697,6.9e-05
0.159,-0.000325,-0.000862,5.67e-05
0.162,-0.000373,-0.000899,8.99e-05
0.166,-0.000334,-0.000938,0.000106
0.169,-0.000304,-0.000963,9.38e-05
0.175,-0.000367,-0.000962,2.16e-05
0.181,-0.00046,-0.00103,-5.76e-05
0.187,-0.000574,-0.00104,-5.97e-05
0.19,-0.000625,-0.00111,-9.74e-05
0.193,-0.00063,-0.00116,-0.000101
0.196,-0.000622,-0.00123,-6.99e-05
0.199,-0.000702,-0.00131,-8.22e-05
0.204,-0.000815,-0.00147,-0.000112
0.207,-0.00089,-0.00151,-8.56e-05
0.211,-0.000901,-0.0016,-8.18e-05
0.216,-0.00095,-0.00163,-1.73e-06
0.219,-0.000972,-0.00163,-1.52e-05
0.222,-0.000958,-0.00165,-6.03e-05
0.225,-0.00102,-0.00171,-5.28e-05
0.228,-0.00107,-0.00182,-5.98e-05
0.232,-0.00112,-0.00191,-8.29e-05
0.235,-0.00112,-0.00199,-4.76e-05
0.24,-0.00119,-0.00202,-5.37e-05
0.243,-0.00123,-0.00206,-5.81e-05
0.247,-0.00132,-0.00201,2.87e-05
0.25,-0.00136,-0.00208,2.5e-05
0.253,-0.00146,-0.00215,-1.32e-05
0.258,-0.00156,-0.00227,2.75e-05
0.262,-0.00161,-0.00236,-1.68e-05
0.265,-0.00172,-0.00235,-6.23e-05
