time,PosX,PosY,PosZ,Roll,Pitch,Yaw,VelX,VelY,VelZ,OmX,OmY,OmZ,VelBX,VelBY,VelBZ,OmBX,OmBY,OmBZ,AccX,AccY,AccZ,EpsX,EpsY,EpsZ
0.001,0,0,0,0,0,0,0,0,0.01,-0,0,0,0,0,0.01,-0,0,0,0.006,0.003,9.81,-0,0,0
0.002,0,0,0,0,0,0,0,0,0.02,-0,0,0,0,0,0.02,-0,0,0,0.006,0.003,9.81,0,0,0
0.003,0,0,0,0,0,0,0,0,0.029,0,0,-0,0,0,0.029,0,0,-0,0.006,0.003,9.81,0,0,-0
0.004,0,0,0,0,0,0,0,0,0.039,0,0,-0,0,0,0.039,0,0,-0,0.006,0.003,9.81,0,0,-0
0.005,0,0,0,0,0,0,0,0,0.049,0,0,-0,0,0,0.049,0,0,-0,0.006,0.003,9.81,0,0,-0
0.006,0,0,0,0,0,0,0,0,0.059,0,0,-0,0,0,0.059,0,0,-0,0.006,0.003,9.81,-0,0,-0
0.007,0,0,0,0,0,-0,0,0,0.069,0,0,-0,0,0,0.069,0,0,-0,0.006,0.003,9.81,0,0,-0
0.008,0,0,0,0,0,-0,0,0,0.078,0,0,-0,0,0,0.078,0,0,-0,0.006,0.003,9.8,0.001,0.002,-0.001
0.009,0,0,0,0,0,-0,0,0,0.088,0,0,-0,0,0,0.088,0,0,-0,0.006,0.003,9.77,0.003,0.004,-0.002
0.01,0,0,0,0,0,-0,0,0,0.098,0,0,-0,0,0,0.098,0,0,-0,0.006,0.003,9.73,0.002,0.007,-0.003
0.011,0,0,0.001,0,0,-0,0,0,0.108,0,0,-0,0,0,0.108,0,0,-0,0.006,0.003,9.68,-0.001,0.007,-0.002
0.012,0,0,0.001,0,0,-0,0,0,0.117,-0,0,-0,0,0,0.117,-0,0,-0,0.006,0.003,9.62,-0.007,0.006,-0
0.013,0,0,0.001,0,0,-0,0,0,0.127,-0,0,-0,0,0,0.127,-0,0,-0,0.006,0.003,9.55,-0.011,0.005,0.001
0.014,0,0,0.001,-0,0,-0,0,0,0.136,-0,0,-0,0,0,0.136,-0,0,-0,0.006,0.003,9.47,-0.011,0.003,0.001
0.015,0,0,0.001,-0,0,-0,0,0,0.146,-0,0,-0,0,0,0.146,-0,0,-0,0.006,0.003,9.38,-0.01,0.001,0.002
